step,loss,samples_processed,tokens_seen
494,0.517666,1976,170773
495,0.667866,1980,171099
496,1.085715,1984,171406
497,0.984245,1988,171622
498,0.498466,1992,171901
499,1.4161,1996,172170
500,0.696086,2000,172554
501,1.124311,2004,172792
502,nan,2008,173293
503,0.848289,2012,173509
504,0.634092,2016,173988
505,0.64843,2020,174384
506,0.746746,2024,174758
507,0.575608,2028,174980
508,0.830716,2032,175260
509,1.164031,2036,175514
510,0.493725,2040,175827
511,0.578659,2044,176262
512,0.628425,2048,176565
513,0.576854,2052,176800
514,0.398421,2056,177011
515,0.528626,2060,177455
516,1.099214,2064,177631
517,0.35102,2068,177961
518,0.674655,2072,178453
519,1.056818,2076,178812
520,0.429032,2080,179225
521,0.344248,2084,179446
522,0.341461,2088,179896
523,0.90592,2092,180191
524,0.85476,2096,180546
525,0.698251,2100,180865
526,0.407612,2104,181309
527,0.675505,2108,181767
528,0.762275,2112,182043
529,0.475398,2116,182267
530,1.13742,2120,182432
531,0.45463,2124,182770
532,0.512498,2128,183292
533,0.672243,2132,183657
534,0.372777,2136,183911
535,0.591058,2140,184334
536,1.013653,2144,184534
537,0.857159,2148,184846
538,0.858438,2152,185165
539,0.329218,2156,185368
540,0.660297,2160,185787
541,0.849052,2164,186087
542,0.6279,2168,186361
543,0.516586,2172,186972
544,0.627623,2176,187343
545,1.423205,2180,187622
546,0.356797,2184,188117
547,0.584043,2188,188548
548,0.298448,2192,188948
549,0.492974,2196,189527
550,0.619385,2200,190009
551,0.539143,2204,190379
552,0.657355,2208,190771
553,0.856176,2212,191197
554,0.902242,2216,191496
555,0.99888,2220,191867
556,0.695132,2224,192120
557,0.636917,2228,192484
558,1.081752,2232,192713
559,0.695321,2236,192971
560,0.660353,2240,193424
561,0.463263,2244,193873
562,0.84085,2248,194222
563,0.330855,2252,194503
564,0.612032,2256,194864
565,0.913989,2260,195180
566,0.272888,2264,195385
567,0.850033,2268,195924
568,0.379551,2272,196450
569,0.634782,2276,196771
570,0.721774,2280,196996
571,0.730898,2284,197208
572,0.523661,2288,197739
573,0.427607,2292,198197
574,0.612149,2296,198541
575,0.269979,2300,198796
576,0.328149,2304,199182
577,0.490666,2308,199535
578,0.757164,2312,199827
579,0.337105,2316,200065
580,0.296826,2320,200623
581,0.729197,2324,200964
582,0.476992,2328,201458
583,0.821045,2332,201776
584,0.792727,2336,202003
585,0.56011,2340,202402
586,0.862007,2344,202698
587,0.55579,2348,202967
588,0.581007,2352,203274
589,0.252252,2356,203469
590,0.354467,2360,203925
591,0.541684,2364,204356
592,0.650184,2368,204708
593,0.781515,2372,205151
594,0.66429,2376,205371
595,0.42909,2380,205705
596,0.855838,2384,206172
597,0.555244,2388,206497
598,1.021114,2392,206744
599,0.499404,2396,207127
600,0.977986,2400,207534
601,1.326917,2404,207866
602,0.598133,2408,208122
603,0.694165,2412,208427
604,0.674625,2416,208855
605,0.91694,2420,209211
606,0.539248,2424,209557
607,0.650228,2428,209877
608,1.18351,2432,210249
609,nan,2436,210496
610,0.996511,2440,210721
611,0.435425,2444,210982
612,0.542959,2448,211138
613,0.349356,2452,211557
614,0.779822,2456,211769
615,0.674954,2460,212124
616,0.587925,2464,212518
617,0.487999,2468,212825
618,0.488882,2472,213163
619,0.682625,2476,213423
620,0.334436,2480,213785
621,0.843159,2484,214144
622,0.461639,2488,214688
623,0.406128,2492,215005
624,0.462594,2496,215288
625,0.624534,2500,215530
626,0.56806,2504,215809
627,0.727102,2508,216172
628,0.449934,2512,216409
629,0.367558,2516,216698
630,0.715793,2520,216990
631,0.62633,2524,217292
