run_tag,world_size,rank,total_samples,total_updates,wall_clock_s,samples_per_sec,tokens_per_sec,compute_ms_per_update_avg,comm_ms_per_update_avg,comm_pct_of_step,extrapolated_epoch_s,final_loss,loss_criterion_met
baseline,1,0,1000,250,2410.95,0.415,106.182,9629.382,0.0,0.0,2410.95,0.521166,1
default,2,0,1000,125,1230.383,0.813,208.065,9396.355,381.271,3.9,1230.383,0.342782,1
