step,compute_ms,comm_ms,data_ms,eval_ms,other_ms
0,11099.958,2156.947,6345.41,0.0,22.758
1,9385.12,462.089,4.345,0.0,82.902
2,9451.253,431.821,2.905,0.0,1.979
3,9349.261,508.555,3.079,0.0,5.13
4,9459.787,361.63,4.623,0.0,5.187
5,8135.674,2659.717,5.587,0.0,5.846
6,9405.459,404.009,6.179,0.0,5.79
7,9358.49,463.549,5.99,0.0,5.783
8,9404.345,406.125,6.689,0.0,5.744
9,9413.42,392.714,6.47,0.0,5.935
10,9390.687,431.817,6.663,0.0,5.823
11,9369.79,458.936,6.443,42627.697,14.936
12,9359.35,488.535,5.029,0.0,5.758
13,9385.784,443.335,6.757,0.0,5.787
14,9372.211,468.197,6.42,0.0,5.825
15,9372.366,464.08,6.382,0.0,5.799
16,9385.393,443.597,6.281,0.0,5.992
17,9380.079,451.476,6.398,0.0,5.754
18,9372.708,465.14,6.246,0.0,5.88
19,9350.451,481.718,5.562,0.0,5.901
20,9556.523,289.328,6.504,0.0,9.15
21,9384.928,463.369,4.811,0.0,5.998
22,9374.591,459.376,6.051,0.0,5.833
23,9336.294,507.723,5.843,0.0,6.171
24,9347.614,487.641,5.695,42663.06,17.815
25,9359.291,488.859,4.979,0.0,6.078
26,9387.005,441.028,6.33,0.0,6.643
27,9377.496,454.545,6.708,0.0,6.059
28,9386.636,440.213,6.365,0.0,5.99
29,9380.568,450.605,6.323,0.0,6.139
30,9389.509,437.602,6.434,0.0,6.027
31,9389.937,431.694,6.462,0.0,6.019
32,9349.645,502.371,6.344,0.0,6.044
33,9385.538,443.979,6.18,0.0,5.917
34,9543.586,291.811,6.34,0.0,8.943
35,9378.4,479.54,5.336,0.0,6.09
36,9378.435,452.491,6.207,0.0,6.137
37,9411.566,398.56,6.32,42646.984,17.685
38,9307.028,531.088,4.846,0.0,6.129
39,9354.269,452.821,6.103,0.0,6.023
40,9310.419,530.582,6.785,0.0,6.064
41,9317.909,513.527,6.4,0.0,6.03
42,9324.62,505.563,5.372,0.0,5.91
43,9317.094,514.611,6.211,0.0,6.052
44,9331.965,498.518,6.302,0.0,5.877
45,9343.668,478.98,6.137,0.0,5.962
46,9328.817,499.155,6.185,0.0,6.086
47,9328.231,498.86,6.054,0.0,6.042
48,9304.198,541.586,6.306,0.0,6.114
49,9319.274,490.22,5.758,42656.6,16.185
50,9309.596,531.534,4.337,0.0,5.956
51,9270.129,610.415,6.162,0.0,5.931
52,9329.915,502.206,6.266,0.0,6.095
53,9352.695,456.966,6.37,0.0,6.117
54,9338.149,486.682,6.394,0.0,5.99
55,9336.418,486.98,6.28,0.0,6.056
56,9326.371,505.541,6.363,0.0,6.139
57,9332.905,493.815,6.449,0.0,6.035
58,9334.117,492.568,6.461,0.0,6.041
59,9328.447,501.047,6.677,0.0,6.077
60,9345.805,470.642,6.422,0.0,6.077
61,9315.571,518.677,6.177,42668.381,17.837
62,9304.437,544.771,5.104,0.0,6.139
63,9331.334,499.286,6.321,0.0,6.131
64,9323.957,502.005,6.523,0.0,6.111
65,9335.841,490.431,6.404,0.0,6.021
66,9340.113,473.972,6.371,0.0,6.027
67,9119.993,878.915,6.396,0.0,6.014
68,9316.527,519.464,6.206,0.0,5.98
69,9327.996,502.202,6.143,0.0,6.078
70,9319.782,515.781,6.629,0.0,6.145
71,9303.935,544.925,6.061,0.0,6.01
72,9331.853,494.288,6.242,0.0,5.99
73,9343.512,476.808,6.532,0.0,6.238
