step,compute_ms,comm_ms,data_ms,eval_ms,other_ms
0,11084.705,1966.533,6340.788,0.0,24.219
1,9393.439,450.29,3.508,0.0,92.339
2,9428.411,437.004,3.609,0.0,1.931
3,9389.805,440.494,2.933,0.0,5.129
4,9464.738,332.817,4.424,0.0,4.93
5,9413.624,392.862,4.545,0.0,5.023
6,9223.199,743.499,4.509,0.0,5.131
7,9377.215,427.49,4.729,0.0,5.039
8,9408.448,401.387,4.578,0.0,5.069
9,9404.633,407.583,4.363,0.0,5.182
10,9397.809,415.655,4.689,0.0,5.169
11,9389.28,422.039,4.456,0.0,5.066
12,9391.151,437.118,6.269,0.0,5.663
13,9545.56,283.925,6.429,0.0,5.502
14,9412.633,426.725,6.653,0.0,5.617
15,9414.802,393.482,6.401,0.0,5.736
16,9411.479,398.185,6.561,0.0,5.62
17,9423.298,371.068,6.421,0.0,5.686
18,9417.037,384.512,5.884,0.0,5.736
19,9384.047,416.764,5.492,0.0,5.104
20,9418.785,383.556,4.676,0.0,5.245
21,9354.184,496.489,4.318,0.0,5.255
22,9415.667,388.74,4.116,0.0,5.222
23,9378.142,427.658,4.344,0.0,5.154
24,9372.374,439.866,4.171,0.0,5.137
25,9417.132,384.47,4.272,0.0,5.214
26,9408.021,401.097,4.358,0.0,5.115
27,9414.951,388.899,4.243,0.0,5.2
28,9413.943,391.214,4.291,0.0,5.153
29,9404.154,410.034,4.425,0.0,5.187
30,9411.254,399.216,4.785,0.0,5.246
31,9416.772,388.628,4.351,0.0,5.202
32,9396.061,415.351,5.077,0.0,5.197
33,9390.699,430.147,5.09,0.0,5.271
34,9391.975,424.371,4.344,0.0,5.188
35,9388.618,436.466,4.2,0.0,5.186
36,9390.255,431.279,4.554,0.0,5.174
37,9421.037,377.795,4.395,0.0,5.175
38,9392.567,422.159,4.351,0.0,5.19
39,9419.648,379.767,4.222,0.0,5.19
40,9407.809,401.598,4.81,42534.76,13.923
41,9371.891,464.015,3.138,0.0,5.237
42,9391.146,434.648,4.234,0.0,5.233
43,9543.592,293.397,4.332,0.0,5.088
44,9400.989,437.049,4.581,0.0,5.282
45,9407.123,404.687,4.34,0.0,5.126
46,9392.459,425.758,4.337,0.0,5.267
47,9390.596,430.33,4.324,0.0,5.245
48,9374.647,462.28,4.279,0.0,5.263
49,9374.022,438.326,4.315,0.0,5.213
50,9420.86,375.749,4.811,0.0,5.373
51,9389.278,429.16,4.395,0.0,5.31
52,9390.854,430.877,4.241,0.0,5.23
53,9408.3,402.264,4.357,0.0,5.02
54,9408.553,403.013,4.442,0.0,5.98
55,9389.725,433.13,3.913,0.0,5.576
56,9392.352,425.04,4.625,0.0,5.158
57,9388.601,434.964,4.361,0.0,5.426
58,9417.947,385.178,4.488,0.0,5.261
59,9393.368,422.561,4.829,0.0,5.177
60,9380.118,453.771,5.029,0.0,5.252
61,9390.908,435.202,4.216,0.0,5.215
62,9391.446,429.578,4.49,0.0,5.199
63,9417.117,385.381,4.381,0.0,5.132
64,9389.417,424.819,4.244,0.0,5.139
65,9392.667,432.429,4.555,0.0,5.246
66,9393.974,424.132,4.333,0.0,5.246
67,9392.081,427.81,4.174,0.0,5.199
68,9391.173,429.652,4.193,0.0,5.2
69,9391.518,429.969,4.167,0.0,5.255
70,9392.353,431.642,4.599,0.0,5.386
71,9404.699,409.986,4.107,0.0,5.139
72,9391.011,434.212,4.266,0.0,5.176
73,9410.22,401.737,4.17,0.0,5.206
74,9398.028,416.499,4.251,0.0,5.166
75,9377.963,446.64,4.417,0.0,5.092
76,9411.869,397.246,4.526,0.0,5.173
77,9392.173,432.536,4.192,0.0,5.218
78,9380.986,448.797,4.26,0.0,5.111
79,9392.16,428.377,4.452,0.0,5.192
80,9392.564,428.969,4.77,0.0,8.493
81,9382.059,448.643,3.675,42636.38,16.292
82,9373.643,457.522,2.938,0.0,4.826
83,9391.366,425.799,4.45,0.0,4.782
84,9389.301,436.463,4.419,0.0,4.76
85,9390.645,433.494,4.295,0.0,5.043
86,9398.514,414.183,4.195,0.0,4.834
87,9412.379,397.813,4.401,0.0,4.804
88,9391.377,428.142,4.38,0.0,1.907
89,9382.803,448.036,3.018,0.0,4.871
90,9392.416,428.304,4.804,0.0,4.908
91,9405.952,408.648,4.367,0.0,5.384
92,9398.153,416.274,4.169,0.0,4.81
93,9392.114,426.59,4.477,0.0,4.858
94,9380.731,448.552,4.57,0.0,4.825
95,9387.472,438.843,4.637,0.0,4.786
96,9386.666,431.063,4.494,0.0,4.941
97,9398.719,414.182,4.495,0.0,4.837
98,9386.313,442.668,4.52,0.0,4.776
99,9376.555,427.995,4.3,0.0,4.884
100,9392.71,426.932,4.746,0.0,5.302
101,9358.563,464.296,4.263,0.0,5.257
102,9403.608,408.578,4.15,0.0,5.216
103,9385.956,441.568,4.09,0.0,5.14
104,9239.463,704.182,4.366,0.0,5.239
105,9389.862,429.597,4.375,0.0,5.195
106,9391.932,422.362,4.549,0.0,5.349
107,9402.528,404.943,4.692,0.0,5.608
108,9387.026,440.469,4.335,0.0,5.352
109,9388.081,429.974,4.556,0.0,5.647
110,9392.019,427.391,5.096,0.0,5.338
111,9389.585,432.641,4.468,0.0,5.214
112,9381.007,449.668,5.018,0.0,5.697
113,9375.146,438.055,4.233,0.0,5.162
114,9408.59,403.999,4.512,0.0,5.261
115,9389.938,431.21,4.326,0.0,5.226
116,9388.619,435.411,4.576,0.0,5.266
117,9390.543,435.284,4.303,0.0,5.286
118,9391.102,429.634,4.28,0.0,5.26
119,9392.983,423.684,4.535,0.0,5.148
120,9389.756,437.564,4.861,0.0,5.601
121,9392.08,422.256,4.403,0.0,5.346
122,9375.398,456.478,4.246,42627.946,16.554
123,9384.496,442.368,3.293,0.0,5.422
124,9388.932,434.845,4.573,0.0,5.569
125,9358.003,467.325,4.25,0.0,5.258
126,9378.972,453.298,4.151,0.0,5.405
127,9376.399,457.061,4.097,0.0,5.316
128,9376.342,453.752,4.131,0.0,5.268
129,9391.404,426.69,4.11,0.0,5.322
130,9389.813,436.257,4.564,0.0,5.483
131,9387.302,439.353,4.109,0.0,5.371
132,9380.329,450.127,4.148,0.0,5.412
133,9377.274,457.092,4.727,0.0,5.731
134,9319.527,567.548,5.031,0.0,5.184
135,9388.109,438.721,4.343,0.0,5.356
136,9380.433,450.811,4.96,0.0,5.387
137,9386.431,444.272,4.293,0.0,5.354
138,9386.502,443.283,4.412,0.0,5.253
139,9388.306,432.109,4.264,0.0,5.402
140,9391.334,435.042,4.751,0.0,5.409
141,9388.567,439.113,4.254,0.0,5.334
142,9388.426,439.215,4.338,0.0,5.286
143,9384.785,412.648,4.449,0.0,5.364
144,9391.692,426.833,4.305,0.0,5.297
145,9391.872,427.486,4.264,0.0,5.348
146,9380.679,445.87,4.229,0.0,5.403
147,9389.282,430.157,4.061,0.0,5.805
148,9391.177,430.565,4.789,0.0,5.881
149,9388.355,439.851,4.69,0.0,5.839
150,9362.141,459.311,5.036,0.0,5.97
151,9398.591,412.601,4.162,0.0,5.992
152,9375.897,462.333,4.071,0.0,5.846
153,9406.952,408.449,3.866,0.0,5.85
