step,compute_ms,comm_ms
0,12397.466,0.0
1,9610.494,0.0
2,9622.276,0.0
3,9617.821,0.0
4,9605.294,0.0
5,10838.536,0.0
6,9589.451,0.0
7,9597.373,0.0
8,9571.946,0.0
9,9584.796,0.0
10,9571.852,0.0
11,9605.006,0.0
12,9619.075,0.0
13,9621.909,0.0
14,9622.799,0.0
15,9626.695,0.0
16,9623.042,0.0
17,9623.445,0.0
18,9624.461,0.0
19,9620.276,0.0
20,9624.44,0.0
21,9624.104,0.0
22,9624.669,0.0
23,9622.621,0.0
24,9625.037,0.0
25,9622.692,0.0
26,9620.486,0.0
27,9621.796,0.0
28,9622.701,0.0
29,9624.155,0.0
30,9623.839,0.0
31,9625.49,0.0
32,9627.776,0.0
33,9623.888,0.0
34,9623.753,0.0
35,9623.272,0.0
36,9623.329,0.0
37,9626.18,0.0
38,9627.843,0.0
39,9610.411,0.0
40,9624.535,0.0
41,9623.22,0.0
42,9624.91,0.0
43,9621.47,0.0
44,9623.223,0.0
45,9624.175,0.0
46,9608.124,0.0
47,9622.823,0.0
48,9606.026,0.0
49,9622.479,0.0
50,9622.569,0.0
51,9611.42,0.0
52,9622.083,0.0
53,9621.082,0.0
54,9622.055,0.0
55,9621.204,0.0
56,9610.24,0.0
57,9622.374,0.0
58,9623.406,0.0
59,9624.746,0.0
60,9625.452,0.0
61,9622.768,0.0
62,9623.27,0.0
63,9622.918,0.0
64,9618.366,0.0
65,9622.593,0.0
66,9720.118,0.0
67,9622.574,0.0
68,9620.319,0.0
69,9621.074,0.0
70,9618.135,0.0
71,9620.103,0.0
72,9623.914,0.0
73,9620.791,0.0
74,9625.063,0.0
75,9615.866,0.0
76,9617.459,0.0
77,9617.18,0.0
78,9621.109,0.0
79,9618.549,0.0
80,9622.465,0.0
81,9618.24,0.0
82,9625.862,0.0
83,9625.199,0.0
84,9628.261,0.0
85,9629.282,0.0
86,9616.14,0.0
87,9630.242,0.0
88,9630.15,0.0
89,9631.129,0.0
90,9628.584,0.0
91,9630.945,0.0
92,9632.525,0.0
93,9631.594,0.0
94,9631.936,0.0
95,9632.484,0.0
96,9634.028,0.0
97,9628.723,0.0
98,9618.498,0.0
99,9637.417,0.0
100,9636.231,0.0
101,9640.215,0.0
102,9633.264,0.0
103,9619.485,0.0
104,9634.188,0.0
105,9635.765,0.0
106,9636.719,0.0
107,9630.48,0.0
108,9593.443,0.0
109,9599.569,0.0
110,9631.875,0.0
111,9621.177,0.0
112,9635.177,0.0
113,9605.331,0.0
114,9632.487,0.0
115,9633.719,0.0
116,9629.938,0.0
117,9593.685,0.0
118,9594.1,0.0
119,9593.494,0.0
120,9601.3,0.0
121,9596.412,0.0
122,9592.064,0.0
123,9596.336,0.0
124,9597.729,0.0
125,9597.191,0.0
126,9600.266,0.0
127,9621.096,0.0
128,9605.205,0.0
129,9606.675,0.0
130,9600.757,0.0
131,9603.019,0.0
132,9601.768,0.0
133,9586.235,0.0
134,9699.753,0.0
135,9600.265,0.0
136,9599.884,0.0
137,9600.447,0.0
138,9600.512,0.0
139,9602.071,0.0
140,9598.677,0.0
141,9598.336,0.0
142,9606.396,0.0
143,9599.683,0.0
144,9602.561,0.0
145,9602.507,0.0
146,9598.783,0.0
147,9600.481,0.0
148,9601.184,0.0
149,9706.649,0.0
150,9599.354,0.0
151,9602.506,0.0
152,9594.462,0.0
153,9597.972,0.0
154,9599.122,0.0
155,9600.435,0.0
156,9597.183,0.0
157,9599.416,0.0
158,9598.419,0.0
159,9596.91,0.0
160,9584.52,0.0
161,9594.731,0.0
162,9598.595,0.0
163,9603.014,0.0
164,9597.614,0.0
165,9746.393,0.0
166,9598.144,0.0
167,9602.828,0.0
168,9602.762,0.0
169,9584.49,0.0
170,9597.948,0.0
171,9598.501,0.0
172,9597.24,0.0
173,9584.244,0.0
174,9581.445,0.0
175,9600.208,0.0
176,9598.001,0.0
177,9585.982,0.0
178,9597.381,0.0
179,9596.35,0.0
180,9707.468,0.0
181,9581.217,0.0
182,9595.098,0.0
183,9599.598,0.0
184,9586.048,0.0
185,9598.414,0.0
186,9597.836,0.0
187,9595.812,0.0
188,9601.528,0.0
189,9599.373,0.0
190,9599.312,0.0
191,9599.734,0.0
192,9599.506,0.0
193,9599.825,0.0
194,9598.471,0.0
195,9744.245,0.0
196,9597.692,0.0
197,9601.185,0.0
198,9600.482,0.0
199,9597.616,0.0
200,9599.92,0.0
201,9600.792,0.0
202,9601.552,0.0
203,9599.397,0.0
204,9600.195,0.0
205,9603.1,0.0
206,9604.017,0.0
207,9598.976,0.0
208,9602.186,0.0
209,9584.46,0.0
210,9740.075,0.0
211,9604.571,0.0
212,9602.839,0.0
213,9603.501,0.0
214,9602.157,0.0
215,9596.066,0.0
216,9597.944,0.0
217,9597.258,0.0
218,9600.174,0.0
219,9598.283,0.0
220,9600.25,0.0
221,9600.182,0.0
222,9601.177,0.0
223,9599.945,0.0
224,9599.252,0.0
225,9599.801,0.0
226,9721.954,0.0
227,9584.387,0.0
228,9598.223,0.0
229,9594.441,0.0
230,9596.058,0.0
231,9596.281,0.0
232,9584.436,0.0
233,9600.464,0.0
234,9599.508,0.0
235,9602.533,0.0
236,9602.257,0.0
237,9595.313,0.0
238,9600.007,0.0
239,9600.796,0.0
240,9601.727,0.0
241,9696.573,0.0
242,9599.055,0.0
243,9601.563,0.0
244,9603.555,0.0
245,9596.277,0.0
246,9596.324,0.0
247,9605.691,0.0
248,9598.33,0.0
249,9594.445,0.0
