timestamp,elapsed_s,rank,gpu_index,utilization_gpu_pct,memory_used_mib
1787415097.6369605,0.035,0,0,0,1092
1787415098.6864583,1.085,0,0,20,1092
1787415099.719996,2.118,0,0,0,1124
1787415100.747683,3.146,0,0,3,1690
1787415101.7777252,4.176,0,0,98,1702
1787415102.8035607,5.202,0,0,100,1874
1787415103.836484,6.235,0,0,100,1874
1787415104.8640423,7.262,0,0,100,1874
1787415105.8936787,8.292,0,0,100,1874
1787415106.920255,9.318,0,0,100,1874
1787415107.9513552,10.349,0,0,100,1874
1787415108.980126,11.378,0,0,100,1874
1787415110.0063987,12.404,0,0,98,1874
1787415111.0346887,13.433,0,0,100,1874
1787415112.0609806,14.459,0,0,100,1874
1787415113.090109,15.488,0,0,100,1874
1787415114.1208053,16.519,0,0,100,1874
1787415115.1470523,17.545,0,0,100,1874
1787415116.1731396,18.571,0,0,100,1874
1787415117.2019143,19.6,0,0,100,1874
1787415118.2310064,20.629,0,0,100,1874
1787415119.2577796,21.656,0,0,100,1946
1787415120.284242,22.682,0,0,90,1946
1787415121.310307,23.708,0,0,100,1946
1787415122.3351538,24.733,0,0,100,1946
1787415123.3613427,25.759,0,0,100,1946
1787415124.3979285,26.796,0,0,100,1946
1787415125.4236581,27.822,0,0,100,1946
1787415126.4583938,28.856,0,0,100,1946
1787415127.4848554,29.883,0,0,100,1946
1787415128.5112875,30.909,0,0,100,1946
1787415129.541662,31.94,0,0,100,1946
1787415130.5680418,32.966,0,0,99,1946
1787415131.5971615,33.995,0,0,100,1946
1787415132.6247299,35.023,0,0,100,1946
1787415133.656822,36.055,0,0,100,1946
1787415134.6858978,37.084,0,0,100,1946
1787415135.7120566,38.11,0,0,100,1946
1787415136.7394357,39.138,0,0,100,1946
1787415137.765852,40.164,0,0,100,1946
1787415138.7945573,41.193,0,0,100,1946
1787415139.8204696,42.219,0,0,99,1946
1787415140.8475187,43.246,0,0,100,1946
1787415141.877856,44.276,0,0,100,1946
1787415142.9044876,45.303,0,0,100,1946
1787415143.931033,46.329,0,0,100,1946
1787415144.9575539,47.356,0,0,100,1946
1787415145.9866707,48.385,0,0,100,1946
1787415147.0132866,49.411,0,0,100,1946
1787415148.0406663,50.439,0,0,100,1946
1787415149.0663528,51.464,0,0,99,1946
1787415150.0964174,52.495,0,0,100,1946
1787415151.123207,53.521,0,0,100,1946
1787415152.1536078,54.552,0,0,100,1946
1787415153.1803436,55.578,0,0,100,1946
1787415154.208231,56.606,0,0,100,1946
1787415155.2437155,57.642,0,0,100,1946
1787415156.273219,58.671,0,0,100,1946
1787415157.3049395,59.703,0,0,100,1946
1787415158.3318539,60.73,0,0,100,1946
1787415159.3589952,61.757,0,0,99,1946
1787415160.3913047,62.789,0,0,100,1946
1787415161.4212322,63.819,0,0,100,1946
1787415162.4540253,64.852,0,0,100,1946
1787415163.4797063,65.878,0,0,100,1946
1787415164.5059652,66.904,0,0,100,1946
1787415165.5313914,67.929,0,0,100,1946
1787415166.5600512,68.958,0,0,87,1946
1787415167.5858161,69.984,0,0,100,1946
1787415168.610929,71.009,0,0,96,1946
1787415169.6360698,72.034,0,0,100,1946
1787415170.6625926,73.061,0,0,100,1946
1787415171.690347,74.088,0,0,100,1946
1787415172.7185254,75.117,0,0,100,1946
1787415173.7510612,76.149,0,0,100,1946
1787415174.7815523,77.18,0,0,100,1946
1787415175.8089914,78.207,0,0,100,1946
1787415176.8405066,79.239,0,0,100,1946
1787415177.8709724,80.269,0,0,100,1946
1787415178.9025052,81.301,0,0,99,1946
1787415179.9332602,82.331,0,0,100,1946
1787415180.96107,83.359,0,0,100,1946
1787415181.993258,84.391,0,0,100,1946
1787415183.0246282,85.423,0,0,100,1946
1787415184.0541859,86.452,0,0,100,1946
1787415185.0809023,87.479,0,0,100,1946
1787415186.107128,88.505,0,0,100,1946
1787415187.1344156,89.532,0,0,100,1946
1787415188.1680613,90.566,0,0,99,1946
1787415189.1988173,91.597,0,0,100,1946
1787415190.226677,92.625,0,0,100,1946
1787415191.2543755,93.652,0,0,100,1946
1787415192.2827194,94.681,0,0,100,1946
1787415193.3117356,95.71,0,0,100,1946
1787415194.3393698,96.737,0,0,100,1946
1787415195.372996,97.771,0,0,100,1946
1787415196.4009883,98.799,0,0,100,1946
1787415197.4275494,99.826,0,0,99,1946
