timestamp,elapsed_s,rank,gpu_index,utilization_gpu_pct,memory_used_mib
1787434324.2055004,0.018,1,0,100,1636
1787434325.2223191,1.035,1,0,99,1636
1787434326.238901,2.052,1,0,100,1636
1787434327.2557354,3.068,1,0,100,1636
1787434328.2723742,4.085,1,0,100,1636
1787434329.2890434,5.102,1,0,100,1636
1787434330.3061156,6.119,1,0,100,1636
1787434331.3229778,7.136,1,0,37,1636
1787434332.3401446,8.153,1,0,21,1680
1787434333.3568337,9.169,1,0,96,1992
1787434334.3735795,10.186,1,0,100,2006
1787434335.390458,11.203,1,0,100,2024
1787434336.4076076,12.22,1,0,100,2024
1787434337.424677,13.237,1,0,100,2024
1787434338.4417355,14.254,1,0,100,2024
1787434339.4588661,15.272,1,0,100,2024
1787434340.4759622,16.289,1,0,100,2024
1787434341.4935527,17.306,1,0,100,2024
1787434342.510497,18.323,1,0,100,2024
1787434343.5277934,19.34,1,0,100,2024
1787434344.5442183,20.357,1,0,97,2174
1787434345.5608656,21.374,1,0,100,2174
1787434346.5779138,22.391,1,0,100,2176
1787434347.5947697,23.407,1,0,100,2176
1787434348.6115263,24.424,1,0,100,2176
1787434349.6290135,25.442,1,0,100,2176
1787434350.6483738,26.461,1,0,100,2176
1787434351.665891,27.479,1,0,100,2176
1787434352.682965,28.496,1,0,100,2176
1787434353.7003274,29.513,1,0,100,2210
1787434354.7174792,30.53,1,0,91,2210
1787434355.7345645,31.547,1,0,100,2224
1787434356.7515674,32.564,1,0,100,2242
1787434357.7684655,33.581,1,0,100,2242
1787434358.7853312,34.598,1,0,100,2242
1787434359.802098,35.615,1,0,100,2242
1787434360.8190813,36.632,1,0,100,2242
1787434361.8363535,37.649,1,0,100,2242
1787434362.8536704,38.666,1,0,100,2242
1787434363.8705554,39.683,1,0,100,2242
1787434364.8875,40.7,1,0,100,2242
1787434365.9044166,41.717,1,0,100,2242
1787434366.921146,42.734,1,0,100,2242
1787434367.937752,43.75,1,0,100,2242
1787434368.955172,44.768,1,0,100,2242
1787434369.9725287,45.785,1,0,100,2242
1787434370.9896839,46.802,1,0,100,2242
1787434372.0066037,47.819,1,0,100,2242
1787434373.0249603,48.838,1,0,100,2242
1787434374.0419242,49.855,1,0,99,2242
1787434375.058999,50.872,1,0,100,2242
1787434376.0765178,51.889,1,0,100,2242
1787434377.0932786,52.906,1,0,100,2242
1787434378.1101053,53.923,1,0,100,2242
1787434379.1268208,54.939,1,0,100,2242
1787434380.1437511,55.956,1,0,100,2242
1787434381.1605675,56.973,1,0,100,2244
1787434382.1776052,57.99,1,0,97,2244
1787434383.1950817,59.008,1,0,100,2244
1787434384.2123666,60.025,1,0,99,2244
1787434385.2296262,61.042,1,0,100,2244
1787434386.246599,62.059,1,0,100,2244
1787434387.2641182,63.077,1,0,100,2244
1787434388.281387,64.094,1,0,100,2244
1787434389.298591,65.111,1,0,100,2244
1787434390.3161259,66.129,1,0,100,2244
1787434391.3336701,67.146,1,0,100,2244
1787434392.3511052,68.164,1,0,100,2244
1787434393.368063,69.181,1,0,99,2244
1787434394.38522,70.198,1,0,100,2244
1787434395.4028351,71.215,1,0,100,2244
1787434396.4197927,72.232,1,0,100,2244
1787434397.4367523,73.249,1,0,100,2244
1787434398.4534786,74.266,1,0,100,2244
1787434399.4706595,75.283,1,0,100,2244
1787434400.488036,76.301,1,0,100,2244
1787434401.50579,77.318,1,0,100,2244
1787434402.5238602,78.337,1,0,100,2244
1787434403.5405374,79.353,1,0,99,2244
1787434404.557249,80.37,1,0,100,2244
1787434405.5746615,81.387,1,0,100,2244
1787434406.5917897,82.404,1,0,100,2244
1787434407.6090653,83.422,1,0,100,2244
1787434408.6259727,84.439,1,0,100,2244
1787434409.6430035,85.456,1,0,100,2244
1787434410.6604319,86.473,1,0,100,2244
1787434411.6775148,87.49,1,0,100,2244
1787434412.6954093,88.508,1,0,100,2244
1787434413.7124336,89.525,1,0,99,2244
1787434414.730136,90.543,1,0,100,2244
1787434415.7467787,91.559,1,0,100,2244
1787434416.763299,92.576,1,0,100,2244
1787434417.7806473,93.593,1,0,100,2244
1787434418.7975063,94.61,1,0,100,2244
1787434419.8151073,95.628,1,0,100,2244
1787434420.832347,96.645,1,0,100,2244
1787434421.8501775,97.663,1,0,100,2244
1787434422.867834,98.68,1,0,100,2244
1787434423.8852115,99.698,1,0,99,2244
1787434424.9029198,100.716,1,0,100,2244
1787434425.9200675,101.733,1,0,100,2244
1787434426.9370592,102.75,1,0,100,2244
1787434427.9540827,103.767,1,0,100,2244
1787434428.9711082,104.784,1,0,100,2244
1787434429.9892547,105.802,1,0,100,2244
1787434431.0065842,106.819,1,0,100,2244
1787434432.0255828,107.838,1,0,100,2244
1787434433.0425923,108.855,1,0,99,2244
1787434434.0592186,109.872,1,0,100,2244
1787434435.0768714,110.89,1,0,100,2244
1787434436.0934339,111.906,1,0,100,2244
1787434437.110664,112.923,1,0,100,2244
1787434438.1273468,113.94,1,0,100,2244
1787434439.1438684,114.957,1,0,100,2244
1787434440.161064,115.974,1,0,100,2244
1787434441.177771,116.99,1,0,99,2244
1787434442.1954496,118.008,1,0,100,2244
1787434443.2123168,119.025,1,0,99,2244
1787434444.2290993,120.042,1,0,100,2244
1787434445.2455618,121.058,1,0,100,2244
1787434446.2623405,122.075,1,0,100,2244
1787434447.2798932,123.093,1,0,100,2244
1787434448.2973304,124.11,1,0,100,2244
1787434449.3138962,125.127,1,0,100,2244
1787434450.3312092,126.144,1,0,100,2244
1787434451.348448,127.161,1,0,100,2244
1787434452.3661337,128.179,1,0,100,2244
1787434453.3834763,129.196,1,0,99,2244
1787434454.4009883,130.214,1,0,100,2244
1787434455.4180825,131.231,1,0,100,2244
1787434456.4358022,132.248,1,0,100,2244
1787434457.4524949,133.265,1,0,100,2244
1787434458.4695115,134.282,1,0,100,2244
1787434459.4874566,135.3,1,0,100,2244
1787434460.5043068,136.317,1,0,100,2244
1787434461.5221932,137.335,1,0,100,2244
1787434462.5393844,138.352,1,0,100,2244
1787434463.5560799,139.369,1,0,99,2244
1787434464.573493,140.386,1,0,100,2244
1787434465.5905132,141.403,1,0,100,2244
1787434466.6074326,142.42,1,0,100,2244
1787434467.6241333,143.437,1,0,100,2244
1787434468.640954,144.454,1,0,100,2244
1787434469.6584203,145.471,1,0,100,2244
1787434470.6755812,146.488,1,0,100,2244
1787434471.692929,147.506,1,0,100,2244
1787434472.7101278,148.523,1,0,99,2244
1787434473.727471,149.54,1,0,100,2244
1787434474.7445178,150.557,1,0,100,2244
1787434475.7613614,151.574,1,0,100,2244
1787434476.778966,152.592,1,0,100,2244
1787434477.79639,153.609,1,0,100,2244
1787434478.813319,154.626,1,0,100,2244
1787434479.8310337,155.644,1,0,99,2244
1787434480.8483548,156.661,1,0,100,2244
1787434481.8660533,157.679,1,0,99,2244
1787434482.8835332,158.696,1,0,100,2244
1787434483.900961,159.714,1,0,100,2244
1787434484.9183059,160.731,1,0,100,2244
1787434485.9356217,161.748,1,0,100,2244
1787434486.9530041,162.766,1,0,100,2244
1787434487.9707043,163.783,1,0,100,2244
1787434488.988506,164.801,1,0,100,2244
1787434490.0063229,165.819,1,0,99,2244
1787434491.0249555,166.838,1,0,100,2244
1787434492.0420132,167.855,1,0,99,2244
1787434493.0590262,168.872,1,0,100,2244
1787434494.076973,169.89,1,0,100,2244
1787434495.094473,170.907,1,0,100,2244
1787434496.111541,171.924,1,0,100,2244
1787434497.1285832,172.941,1,0,100,2244
1787434498.1459262,173.959,1,0,100,2244
1787434499.1631966,174.976,1,0,100,2244
1787434500.1803617,175.993,1,0,100,2244
1787434501.1978533,177.01,1,0,100,2244
1787434502.2151089,178.028,1,0,99,2244
1787434503.2324245,179.045,1,0,100,2244
1787434504.2496214,180.062,1,0,100,2244
1787434505.266994,181.08,1,0,100,2244
1787434506.2846756,182.097,1,0,100,2244
1787434507.301684,183.114,1,0,100,2244
1787434508.3183515,184.131,1,0,100,2244
1787434509.3357244,185.148,1,0,100,2244
1787434510.3531837,186.166,1,0,100,2244
1787434511.3704822,187.183,1,0,100,2244
1787434512.3873668,188.2,1,0,99,2244
1787434513.4045658,189.217,1,0,100,2244
1787434514.4214728,190.234,1,0,100,2244
1787434515.438211,191.251,1,0,100,2244
1787434516.4544973,192.267,1,0,100,2244
1787434517.4714174,193.284,1,0,100,2244
1787434518.4881608,194.301,1,0,100,2244
1787434519.5054715,195.318,1,0,100,2244
1787434520.5234683,196.336,1,0,100,2244
1787434521.5400887,197.353,1,0,99,2244
1787434522.5568032,198.369,1,0,100,2244
1787434523.57452,199.387,1,0,100,2244
1787434524.5909855,200.404,1,0,100,2244
1787434525.6086388,201.421,1,0,100,2244
1787434526.6255422,202.438,1,0,100,2244
1787434527.6426768,203.455,1,0,100,2244
1787434528.6603692,204.473,1,0,100,2244
1787434529.6769888,205.49,1,0,100,2244
1787434530.6945426,206.507,1,0,100,2244
1787434531.7121267,207.525,1,0,99,2244
1787434532.7295392,208.542,1,0,100,2244
1787434533.7464297,209.559,1,0,100,2244
