step,loss,samples_processed,tokens_seen
1,0.428993,8,634
2,0.751176,16,1121
3,1.703296,24,1805
4,0.572091,32,2651
5,0.740021,40,3649
6,0.787215,48,4124
7,0.531593,56,4713
8,0.348362,64,5581
9,0.680567,72,6355
10,0.512637,80,7027
11,1.242743,88,7471
12,0.513371,96,7975
13,1.343444,104,8792
14,0.787148,112,9422
15,0.432428,120,9938
16,0.32067,128,10692
17,0.653677,136,11276
18,0.638333,144,11948
19,0.944907,152,12573
20,0.352201,160,13203
21,0.312895,168,13892
22,1.145391,176,14678
23,0.41268,184,15542
24,0.560603,192,16591
25,0.54224,200,17366
26,0.676139,208,18044
27,0.964248,216,18888
28,1.102793,224,19567
29,0.647775,232,20159
30,0.772915,240,20983
31,0.493424,248,21675
32,0.527045,256,22651
33,0.303793,264,23346
34,0.671092,272,24074
35,0.488338,280,24961
36,0.55378,288,25678
37,0.695247,296,26395
38,0.804595,304,27033
39,0.517073,312,27691
40,0.58053,320,28349
41,0.719311,328,29010
42,0.625482,336,29458
43,0.652724,344,30088
44,0.453935,352,30725
45,0.684348,360,31599
46,0.44303,368,32660
47,0.403646,376,33528
48,0.603694,384,34487
49,0.862284,392,35342
50,0.960268,400,36431
51,0.596189,408,37264
52,0.760709,416,38038
53,0.403206,424,38674
54,0.488461,432,39307
55,0.766537,440,40011
56,0.301173,448,40486
57,0.615139,456,41161
58,0.511254,464,41998
59,0.58092,472,42682
60,0.580676,480,43346
61,0.798488,488,43933
62,0.603347,496,44546
63,0.515308,504,45250
64,0.557896,512,46070
65,0.57883,520,47014
66,0.721872,528,47519
67,0.804615,536,48264
68,0.537592,544,48810
69,0.358721,552,49377
70,0.424848,560,49976
71,0.833202,568,50599
72,0.537618,576,51171
73,0.701006,584,51973
74,0.362344,592,52926
75,0.906552,600,53673
76,1.097172,608,54452
77,0.448728,616,55075
78,0.504255,624,55741
79,0.44152,632,56568
80,0.546926,640,57381
81,0.415185,648,58086
82,0.581006,656,58703
83,0.687254,664,59620
84,0.462069,672,60375
85,0.933902,680,61002
86,0.784807,688,61847
87,0.403937,696,62385
88,0.285009,704,63151
89,0.871745,712,63524
90,0.539328,720,64111
91,0.838116,728,64653
92,0.524991,736,65384
93,0.929265,744,66027
94,0.555498,752,66582
95,0.448154,760,67570
96,1.101786,768,68158
97,0.607057,776,68797
98,0.835548,784,69464
99,0.520335,792,70079
100,0.580705,800,70854
101,0.950518,808,71539
102,1.13252,816,72292
103,0.491202,824,73097
104,0.344729,832,73883
105,0.891626,840,74457
106,0.818072,848,75029
107,0.494715,856,75958
108,0.618574,864,76615
109,1.248078,872,77191
110,0.463273,880,78044
111,0.503776,888,78840
112,1.069936,896,79384
113,0.407595,904,79904
114,0.727987,912,80859
115,0.712536,920,81693
116,0.478263,928,82404
117,0.582074,936,82997
118,0.644901,944,83571
119,0.517065,952,84194
120,0.730342,960,84918
121,0.749867,968,85683
122,0.478712,976,86372
123,0.693368,984,86938
124,0.770387,992,87558
125,2.096944,1000,88092
126,0.504502,1008,88995
127,0.469479,1016,89459
128,0.642007,1024,89989
129,1.3209,1032,90436
130,0.378986,1040,90950
131,0.634013,1048,91515
132,0.59964,1056,92217
133,0.565111,1064,92926
134,0.380755,1072,93517
135,0.787485,1080,93998
136,0.500011,1088,94578
137,0.8254,1096,95410
138,0.787973,1104,95967
139,0.975967,1112,96826
140,0.341472,1120,97388
141,0.365186,1128,98105
142,0.649046,1136,98863
143,0.365443,1144,99516
144,0.949051,1152,100438
145,0.849735,1160,100913
146,0.380002,1168,101434
147,1.169504,1176,102124
148,0.62531,1184,102930
149,0.679608,1192,103680
150,0.393568,1200,104361
151,0.495754,1208,104996
152,1.165966,1216,105867
153,1.199247,1224,106576
154,0.588272,1232,107244
155,0.402975,1240,107823
156,0.716523,1248,108248
157,0.266588,1256,109058
158,0.692846,1264,109693
159,0.395121,1272,110272
160,0.47153,1280,110976
161,0.60237,1288,111664
162,0.552349,1296,112504
163,1.061762,1304,113081
164,0.511791,1312,113538
165,0.610336,1320,114212
166,0.364443,1328,115041
167,0.64544,1336,115702
168,0.40766,1344,116291
169,0.443283,1352,117001
170,0.818724,1360,117752
171,0.872745,1368,118404
172,0.498628,1376,119123
173,0.7097,1384,119704
174,0.696289,1392,120761
175,0.61644,1400,121505
176,1.069325,1408,121981
177,0.61372,1416,122554
178,0.51192,1424,123153
179,0.947431,1432,124080
180,0.474128,1440,124487
181,0.307143,1448,125253
182,0.657825,1456,126020
183,1.792639,1464,126889
184,0.83666,1472,127721
185,0.784921,1480,128264
186,0.486987,1488,129210
187,0.833828,1496,129851
188,0.245089,1504,130254
189,0.451897,1512,130728
190,0.822154,1520,131406
191,0.523116,1528,132053
192,0.522539,1536,132951
193,0.516973,1544,133638
194,0.480646,1552,134146
195,0.749269,1560,134837
196,0.800236,1568,135562
197,0.604603,1576,136367
198,0.367126,1584,137127
199,1.091241,1592,137986
200,0.70938,1600,138673
201,1.012982,1608,139305
202,0.31367,1616,140303
203,0.559897,1624,141098
204,0.668612,1632,141878
205,0.602598,1640,142722
206,0.42704,1648,143629
207,0.677686,1656,144515
208,0.449746,1664,145338
209,1.648036,1672,145957
210,0.405881,1680,146481
211,0.761592,1688,147072
212,0.377849,1696,147554
213,0.542844,1704,148248
214,0.405689,1712,148825
215,0.723508,1720,149322
216,0.573434,1728,150078
217,0.477019,1736,150645
218,0.571402,1744,151325
219,0.721835,1752,151949
220,0.403121,1760,152480
221,0.622677,1768,153169
222,0.359153,1776,153873
223,0.770214,1784,154607
224,0.447015,1792,155202
225,0.495934,1800,155664
226,0.425239,1808,156249
227,0.580126,1816,156884
228,1.030579,1824,157611
229,0.788503,1832,158331
230,0.513464,1840,159060
231,0.469094,1848,159958
232,0.568986,1856,160704
233,0.381027,1864,161268
234,0.398529,1872,162205
235,0.57446,1880,162789
236,0.652316,1888,163534
237,0.478174,1896,163924
238,0.311085,1904,164691
239,0.819375,1912,165540
240,0.584537,1920,166136
241,0.265605,1928,166859
242,0.514517,1936,167566
243,0.424429,1944,168083
244,0.500416,1952,168525
245,0.809216,1960,169136
246,0.62568,1968,169995
247,0.552507,1976,170773
248,0.672882,1984,171406
249,0.431511,1992,171901
250,0.95455,2000,172554
251,0.873337,2008,173293
252,0.684937,2016,173988
253,0.441073,2024,174758
254,0.576269,2032,175260
255,0.76275,2040,175827
256,0.471928,2048,176565
257,0.499575,2056,177011
258,1.060905,2064,177631
259,0.645177,2072,178453
260,0.539566,2080,179225
261,0.276682,2088,179896
262,1.096538,2096,180546
263,0.571302,2104,181309
264,1.013303,2112,182043
265,1.083147,2120,182432
266,0.360578,2128,183292
267,0.726746,2136,183911
268,0.820922,2144,184534
269,0.746186,2152,185165
270,0.458065,2160,185787
271,0.781654,2168,186361
272,0.520857,2176,187343
273,1.318344,2184,188117
274,0.491784,2192,188948
275,0.684554,2200,190009
276,0.635827,2208,190771
277,0.839813,2216,191496
278,1.147659,2224,192120
279,0.782627,2232,192713
280,0.672172,2240,193424
281,0.401764,2248,194222
282,0.571851,2256,194864
283,0.467609,2264,195385
284,0.750271,2272,196450
285,0.655875,2280,196996
286,0.792695,2288,197739
287,0.891455,2296,198541
288,0.250141,2304,199182
289,0.50394,2312,199827
290,0.195848,2320,200623
291,0.493152,2328,201458
292,0.804444,2336,202003
293,0.501341,2344,202698
294,0.511902,2352,203274
295,0.122873,2360,203925
296,0.796687,2368,204708
297,0.675891,2376,205371
298,0.93606,2384,206172
299,0.490539,2392,206744
300,0.645685,2400,207534
301,0.912146,2408,208122
302,0.813388,2416,208855
303,0.73839,2424,209557
304,0.988209,2432,210249
305,nan,2440,210721
306,0.601708,2448,211138
307,0.241655,2456,211769
308,0.611104,2464,212518
309,0.544253,2472,213163
310,0.532579,2480,213785
311,0.629769,2488,214688
312,0.347356,2496,215288
313,0.681749,2504,215809
314,0.460271,2512,216409
315,0.430282,2520,216990
316,0.616097,2528,217593
317,0.647581,2536,218437
318,0.476707,2544,218994
319,0.471327,2552,219651
320,1.080141,2560,220080
321,0.576943,2568,220988
322,0.705633,2576,221466
323,0.785805,2584,222168
324,0.39309,2592,222948
325,0.791152,2600,223571
326,0.668039,2608,224233
327,0.601439,2616,224842
328,0.780109,2624,225508
329,0.263259,2632,226167
330,0.353808,2640,226839
331,0.58472,2648,227655
332,0.572557,2656,228156
333,0.468265,2664,228757
334,0.760308,2672,229822
335,0.877549,2680,230448
336,0.348249,2688,231236
337,0.930709,2696,231805
338,0.894438,2704,232390
339,0.904266,2712,233066
340,0.394618,2720,234001
341,1.170678,2728,234653
342,0.720074,2736,235466
343,0.877298,2744,236125
344,0.447187,2752,236809
345,1.05767,2760,237555
346,1.069184,2768,238245
347,0.306026,2776,239391
348,0.357211,2784,239883
349,0.876928,2792,240452
350,0.99608,2800,241341
351,0.644554,2808,242117
352,0.800572,2816,242798
353,1.036957,2824,243617
354,0.502322,2832,244413
355,0.973164,2840,245138
356,0.472423,2848,245706
357,0.917626,2856,246263
358,0.612693,2864,246923
359,0.419466,2872,247936
360,0.77681,2880,248643
361,0.451839,2888,249398
362,0.919651,2896,250069
363,1.022357,2904,250636
364,0.433167,2912,251411
365,0.635562,2920,252010
366,0.187536,2928,252703
367,0.431736,2936,253666
368,1.064002,2944,254053
369,0.435643,2952,254634
370,0.450766,2960,255216
371,0.717764,2968,255817
372,0.489727,2976,256454
