step,compute_ms,comm_ms,data_ms,eval_ms,other_ms
137,9544.684,281.493,5.556,0.0,8.009
138,9544.021,281.672,5.744,0.0,7.612
139,9533.96,281.885,6.12,0.0,8.024
140,9540.191,282.51,6.778,0.0,8.274
141,9540.425,282.251,6.026,0.0,8.437
142,9539.738,282.244,6.316,0.0,7.861
143,9510.754,282.651,6.118,0.0,8.05
144,9533.278,281.891,5.731,0.0,7.987
145,9533.098,282.198,5.773,0.0,7.934
146,9540.112,281.786,5.889,0.0,8.206
147,9532.72,282.043,5.843,0.0,8.08
148,9536.479,282.101,5.77,0.0,8.342
149,9542.157,282.421,5.866,0.0,8.269
150,9535.395,282.307,5.934,0.0,8.305
151,9524.254,282.977,5.905,0.0,10.316
152,9550.679,281.522,5.527,0.0,7.578
153,9529.801,282.039,6.315,0.0,7.939
154,9539.592,281.315,6.049,0.0,7.841
155,9537.745,282.674,6.081,0.0,7.993
156,9524.498,337.007,5.982,0.0,8.885
157,9535.023,282.033,5.797,0.0,7.393
158,9535.652,281.58,5.927,0.0,7.824
159,9533.019,281.533,6.083,0.0,7.974
160,9536.172,282.696,6.182,0.0,7.787
161,9529.601,282.478,5.813,0.0,8.222
162,9538.611,282.467,5.918,0.0,8.086
163,9539.289,282.095,6.531,42674.421,22.247
164,9530.955,281.518,5.152,0.0,7.503
165,9532.641,283.14,6.795,0.0,7.802
166,9528.55,282.379,6.232,0.0,7.502
167,9534.712,282.594,6.207,0.0,7.68
168,9526.717,282.01,6.556,0.0,8.261
169,9531.358,281.787,5.729,0.0,8.499
170,9529.717,281.087,5.618,0.0,8.364
171,9533.569,282.719,5.348,0.0,7.8
172,9545.436,281.707,5.947,0.0,8.145
173,9528.718,281.177,6.131,0.0,11.112
174,9543.74,280.952,5.798,0.0,7.532
175,9533.895,282.368,6.297,0.0,8.797
176,9539.472,281.997,6.608,0.0,12.923
177,9539.617,281.71,6.231,0.0,10.976
178,9543.303,281.231,6.528,0.0,8.755
179,9547.742,282.506,6.603,0.0,8.684
180,9525.308,282.955,6.233,0.0,7.921
181,9537.807,282.37,6.111,0.0,8.067
182,9524.569,282.029,5.466,0.0,8.168
183,9544.428,281.837,5.536,0.0,8.057
184,9542.889,281.062,5.754,0.0,8.022
185,9543.151,281.393,5.595,0.0,8.296
186,9497.627,364.158,5.846,0.0,8.154
187,9532.318,280.809,5.909,0.0,7.584
188,9545.451,281.875,6.097,0.0,7.56
189,9531.417,281.62,6.102,0.0,8.099
190,9547.262,281.11,5.894,0.0,8.162
191,9552.074,281.1,5.793,0.0,7.901
192,9535.43,283.334,6.15,0.0,8.094
193,9550.033,281.38,5.748,0.0,7.624
194,9527.74,283.334,6.138,0.0,8.096
195,9531.709,281.18,6.075,0.0,7.996
196,9539.322,281.9,5.843,0.0,7.779
197,9543.965,281.713,6.049,0.0,8.248
198,9524.297,284.215,5.715,0.0,7.636
199,9536.763,281.27,6.174,0.0,8.828
200,9542.717,282.04,5.64,0.0,7.571
201,9521.783,284.923,6.685,0.0,7.979
202,9680.695,281.218,6.042,0.0,7.965
203,9518.1,285.147,5.765,0.0,14.302
204,9538.809,281.901,6.17,0.0,10.603
205,9540.344,281.801,5.386,42593.074,21.724
206,9533.948,282.319,5.725,0.0,10.366
207,9545.468,280.943,5.477,0.0,8.692
208,9547.271,281.255,5.862,0.0,7.996
209,9541.666,281.349,6.055,0.0,7.91
210,9527.98,282.874,6.21,0.0,8.843
211,9525.75,283.212,5.834,0.0,8.571
212,9539.506,281.953,6.74,0.0,9.143
213,9537.332,281.28,6.02,0.0,8.545
214,9517.572,285.334,5.987,0.0,15.577
215,9527.966,283.697,6.49,0.0,7.851
216,9531.232,284.065,5.447,0.0,7.586
217,9539.2,281.737,6.597,0.0,7.95
218,9530.903,281.564,6.0,0.0,8.613
219,9529.374,282.085,6.214,0.0,12.421
220,9533.63,282.735,6.438,0.0,15.643
221,9538.357,281.261,6.943,0.0,7.792
222,9539.769,281.414,6.152,0.0,8.097
223,9529.032,281.976,5.743,0.0,16.194
224,9523.006,281.993,6.029,0.0,7.879
225,9539.074,281.608,6.483,0.0,8.201
226,9529.378,282.924,6.374,0.0,8.327
227,9538.095,283.607,5.925,0.0,7.947
228,9530.714,281.734,5.714,0.0,7.75
229,9542.978,282.675,5.525,0.0,7.467
230,9516.024,284.396,6.36,0.0,8.741
231,9520.333,284.916,5.606,0.0,7.565
232,9686.846,282.135,5.907,0.0,7.447
233,9531.57,281.778,5.939,0.0,7.798
234,9535.55,282.011,5.918,0.0,7.969
235,9532.777,282.671,6.138,0.0,8.09
236,9534.843,281.992,6.147,0.0,8.046
237,9532.216,282.526,5.666,0.0,7.904
238,9523.781,283.141,6.114,0.0,7.887
239,9521.995,283.783,6.355,0.0,7.839
240,9539.789,282.459,6.527,0.0,7.571
241,9540.408,281.927,6.506,0.0,8.173
242,9540.276,282.992,6.602,0.0,8.154
243,9540.798,281.413,6.739,0.0,14.748
244,9549.717,281.219,7.253,0.0,8.111
245,9532.9,281.107,5.976,0.0,7.977
246,9522.187,282.553,6.091,42594.077,27.802
247,9533.073,280.809,5.658,0.0,8.439
248,9545.102,280.883,5.513,0.0,7.906
249,9544.206,284.103,5.792,0.0,8.201
250,9532.101,281.149,5.586,0.0,8.164
251,9540.878,282.398,6.504,0.0,8.137
252,9532.079,282.354,6.151,0.0,7.762
253,9538.422,282.164,6.427,0.0,8.099
254,9536.138,284.28,5.902,0.0,7.984
255,9547.336,281.717,6.254,0.0,8.161
256,9540.578,280.777,6.053,0.0,7.904
257,9530.675,281.858,5.712,0.0,7.904
258,9528.106,280.835,32.944,0.0,7.825
259,9551.592,281.785,6.265,0.0,8.834
260,9540.754,281.585,5.886,0.0,8.216
261,9532.39,281.253,5.971,0.0,8.06
262,9665.947,281.022,5.747,0.0,8.013
263,9517.639,284.715,5.699,0.0,7.591
264,9530.11,283.548,6.109,0.0,8.235
265,9527.099,281.984,5.711,0.0,8.278
266,9519.169,284.247,5.961,0.0,8.351
267,9521.04,282.632,5.475,0.0,7.759
268,9539.974,281.363,5.947,0.0,8.256
269,9534.089,282.457,6.089,0.0,8.022
270,9531.722,281.737,6.047,0.0,8.074
271,9532.935,281.654,5.932,0.0,7.964
272,9541.908,281.876,6.189,0.0,8.174
273,9543.856,282.949,5.967,0.0,8.258
274,9542.495,281.77,5.715,0.0,13.719
275,9535.029,280.843,6.292,0.0,8.445
276,9552.129,281.388,6.099,0.0,8.023
277,9682.639,281.236,6.114,0.0,8.075
278,9536.813,282.456,5.768,0.0,7.966
279,9528.607,281.428,5.971,0.0,7.984
280,9544.654,281.772,6.156,0.0,8.506
281,9545.526,280.602,5.967,0.0,7.743
282,9534.511,281.364,6.089,0.0,7.533
283,9536.569,280.798,6.438,0.0,8.302
284,9527.396,282.292,5.796,0.0,8.123
285,9535.931,281.44,6.584,0.0,8.502
286,9539.884,281.922,6.568,0.0,7.539
287,9535.098,282.116,7.14,42613.048,21.102
288,9531.153,280.238,6.108,0.0,8.173
289,9546.553,280.565,6.663,0.0,7.959
290,9520.383,283.576,5.853,0.0,7.714
291,9538.823,282.319,5.88,0.0,8.022
292,9540.217,283.341,5.896,0.0,8.108
293,9545.856,281.817,6.238,0.0,8.28
294,9546.342,282.159,6.138,0.0,7.86
295,9528.413,281.602,5.939,0.0,8.438
296,9531.656,282.354,5.853,0.0,7.63
297,9535.938,283.442,5.825,0.0,7.503
298,9540.129,281.937,6.384,0.0,9.202
299,9534.537,281.688,5.916,0.0,8.03
300,9537.913,280.213,5.857,0.0,7.95
301,9529.949,282.163,6.064,0.0,7.571
302,9531.127,281.366,6.041,0.0,8.477
303,9528.036,280.868,5.643,0.0,8.149
304,9530.064,284.107,5.652,0.0,8.101
305,9521.015,285.077,5.78,0.0,7.708
306,9542.426,281.831,6.054,0.0,8.394
307,9542.361,281.678,5.494,0.0,7.554
308,9678.744,280.775,6.183,0.0,7.994
309,9542.544,282.109,6.305,0.0,7.931
310,9528.0,282.653,6.285,0.0,8.218
311,9529.895,284.019,6.035,0.0,7.806
312,9536.331,282.621,6.222,0.0,7.426
313,9537.894,281.458,6.016,0.0,7.841
314,9544.458,281.749,5.896,0.0,7.993
315,9524.531,285.076,5.742,0.0,8.115
316,9521.46,284.238,6.349,0.0,7.867
317,9521.755,285.684,6.11,0.0,13.9
318,9546.133,283.854,12.502,0.0,8.373
319,9521.523,285.243,5.958,0.0,7.384
320,9538.718,281.05,6.41,0.0,8.512
321,9524.731,283.519,5.794,0.0,7.934
322,9533.192,282.631,6.266,0.0,8.303
323,9684.031,281.237,6.261,0.0,8.452
324,9533.483,281.316,5.984,0.0,8.129
325,9534.311,282.46,5.722,0.0,8.205
326,9544.202,281.786,6.303,0.0,8.303
327,9542.735,281.724,5.927,0.0,7.972
328,9544.194,282.469,6.206,42548.188,21.345
329,9538.18,281.327,5.526,0.0,8.089
330,9549.111,281.551,6.284,0.0,8.429
331,9544.865,280.72,5.853,0.0,8.18
332,9547.595,281.89,6.502,0.0,8.52
333,9533.411,282.128,5.743,0.0,8.647
334,9529.512,282.053,5.902,0.0,8.647
335,9533.685,282.085,5.847,0.0,8.309
336,9527.261,281.376,5.61,0.0,8.168
337,9537.071,281.25,5.569,0.0,7.781
338,9513.806,347.898,6.357,0.0,8.123
339,9527.273,281.945,5.748,0.0,8.244
340,9538.7,281.333,5.874,0.0,13.813
341,9527.276,282.07,6.134,0.0,7.783
342,9533.639,281.696,5.902,0.0,7.506
343,9540.882,281.217,6.279,0.0,8.022
344,9542.218,281.7,5.747,0.0,7.848
345,9530.375,282.845,6.393,0.0,7.982
346,9540.41,282.083,5.618,0.0,7.709
347,9541.401,282.681,6.048,0.0,8.142
