timestamp,elapsed_s,rank,gpu_index,utilization_gpu_pct,memory_used_mib
1787410871.87401,0.02,1,0,100,1636
1787410872.8909798,1.037,1,0,99,1636
1787410873.9086967,2.055,1,0,100,1636
1787410874.9255729,3.071,1,0,100,1636
1787410875.9430919,4.089,1,0,100,1636
1787410876.9608026,5.107,1,0,100,1636
1787410877.9788163,6.125,1,0,100,1636
1787410878.9953508,7.141,1,0,71,1636
1787410880.0123222,8.158,1,0,0,1678
1787410881.028995,9.175,1,0,85,1992
1787410882.0456862,10.192,1,0,97,2006
1787410883.0623288,11.208,1,0,100,2024
1787410884.079124,12.225,1,0,100,2024
1787410885.0956242,13.241,1,0,100,2024
1787410886.1122975,14.258,1,0,100,2024
1787410887.128808,15.275,1,0,100,2024
1787410888.1452532,16.291,1,0,100,2024
1787410889.1624174,17.308,1,0,100,2024
1787410890.1796327,18.325,1,0,100,2024
1787410891.19778,19.344,1,0,100,2024
1787410892.2153816,20.361,1,0,97,2024
1787410893.2326481,21.378,1,0,100,2024
1787410894.2502432,22.396,1,0,100,2024
1787410895.267227,23.413,1,0,100,2026
1787410896.283749,24.43,1,0,100,2026
1787410897.3004138,25.446,1,0,100,2026
1787410898.316809,26.463,1,0,100,2026
1787410899.3341343,27.48,1,0,100,2026
1787410900.350699,28.497,1,0,99,2026
1787410901.3676996,29.514,1,0,100,2026
1787410902.3843517,30.53,1,0,92,2060
1787410903.400736,31.547,1,0,100,2070
1787410904.4170468,32.563,1,0,100,2092
1787410905.4335265,33.579,1,0,100,2092
1787410906.4498084,34.596,1,0,100,2092
1787410907.466314,35.612,1,0,100,2092
1787410908.4842308,36.63,1,0,100,2092
1787410909.5010245,37.647,1,0,100,2092
1787410910.5174756,38.663,1,0,100,2092
1787410911.5339034,39.68,1,0,100,2092
1787410912.5503001,40.696,1,0,99,2092
1787410913.5667984,41.713,1,0,100,2092
1787410914.5829158,42.729,1,0,100,2092
1787410915.5992172,43.745,1,0,100,2092
1787410916.6154342,44.761,1,0,100,2092
1787410917.63184,45.778,1,0,100,2092
1787410918.6483705,46.794,1,0,100,2092
1787410919.6654282,47.811,1,0,100,2092
1787410920.6829436,48.829,1,0,100,2092
1787410921.6990118,49.845,1,0,99,2092
1787410922.7155619,50.861,1,0,100,2092
1787410923.732474,51.878,1,0,100,2092
1787410924.7492073,52.895,1,0,100,2092
1787410925.7659342,53.912,1,0,100,2092
1787410926.7821774,54.928,1,0,100,2092
1787410927.7987401,55.945,1,0,100,2092
1787410928.8154376,56.961,1,0,97,2094
1787410929.831743,57.978,1,0,100,2094
1787410930.8490229,58.995,1,0,100,2094
1787410931.8655636,60.011,1,0,96,2094
1787410932.8823159,61.028,1,0,100,2094
1787410933.8986654,62.045,1,0,100,2094
1787410934.9148839,63.061,1,0,100,2094
1787410935.9316492,64.077,1,0,100,2094
1787410936.947979,65.094,1,0,100,2094
1787410937.9644306,66.11,1,0,100,2094
1787410938.9812977,67.127,1,0,100,2094
1787410939.9991884,68.145,1,0,100,2094
1787410941.0163193,69.162,1,0,100,2094
1787410942.032676,70.179,1,0,100,2094
1787410943.0493464,71.195,1,0,99,2094
1787410944.065587,72.211,1,0,100,2094
1787410945.0818303,73.228,1,0,100,2094
1787410946.0982475,74.244,1,0,100,2094
1787410947.1147149,75.261,1,0,100,2094
1787410948.1312125,76.277,1,0,100,2094
1787410949.1478121,77.294,1,0,100,2094
1787410950.165197,78.311,1,0,99,2094
1787410951.183177,79.329,1,0,100,2094
1787410952.199569,80.345,1,0,99,2094
1787410953.2160451,81.362,1,0,100,2094
1787410954.2326243,82.378,1,0,100,2094
1787410955.248967,83.395,1,0,100,2094
1787410956.2656403,84.411,1,0,100,2094
1787410957.2817385,85.428,1,0,100,2094
1787410958.2979212,86.444,1,0,100,2094
1787410959.3150144,87.461,1,0,100,2094
1787410960.3310544,88.477,1,0,100,2094
1787410961.3480906,89.494,1,0,100,2094
1787410962.3645387,90.51,1,0,99,2094
1787410963.3810792,91.527,1,0,100,2094
1787410964.3975282,92.543,1,0,100,2094
1787410965.4138634,93.56,1,0,100,2094
1787410966.4304357,94.576,1,0,100,2094
1787410967.4471004,95.593,1,0,100,2094
1787410968.463559,96.609,1,0,100,2094
1787410969.4819071,97.628,1,0,100,2094
1787410970.4985774,98.644,1,0,100,2094
1787410971.514952,99.661,1,0,100,2094
1787410972.531493,100.677,1,0,99,2094
1787410973.5477977,101.694,1,0,100,2094
1787410974.564055,102.71,1,0,100,2094
1787410975.5804358,103.726,1,0,100,2094
1787410976.5967963,104.743,1,0,100,2094
1787410977.6131926,105.759,1,0,100,2094
1787410978.6299126,106.776,1,0,100,2094
1787410979.6470356,107.793,1,0,100,2094
1787410980.6643023,108.81,1,0,100,2094
1787410981.681487,109.827,1,0,100,2094
1787410982.6978405,110.844,1,0,99,2094
1787410983.7149425,111.861,1,0,100,2094
1787410984.731689,112.878,1,0,100,2094
1787410985.7484505,113.894,1,0,100,2094
1787410986.7647216,114.911,1,0,100,2094
1787410987.7810507,115.927,1,0,100,2094
1787410988.7983894,116.944,1,0,100,2094
1787410989.8149552,117.961,1,0,100,2094
1787410990.832169,118.978,1,0,100,2094
1787410991.8485448,119.994,1,0,100,2094
1787410992.8650944,121.011,1,0,99,2094
1787410993.8817234,122.028,1,0,100,2094
1787410994.9044447,123.05,1,0,100,2094
1787410995.923511,124.069,1,0,100,2094
1787410996.940089,125.086,1,0,100,2094
1787410997.9564059,126.102,1,0,100,2094
1787410998.9733033,127.119,1,0,100,2094
1787410999.9895267,128.135,1,0,100,2094
1787411001.0060384,129.152,1,0,98,2094
1787411002.022731,130.169,1,0,100,2094
1787411003.0389454,131.185,1,0,100,2094
1787411004.0551295,132.201,1,0,100,2094
1787411005.0714464,133.217,1,0,100,2094
1787411006.0878143,134.234,1,0,100,2094
1787411007.10408,135.25,1,0,100,2094
1787411008.1202898,136.266,1,0,100,2094
1787411009.1369767,137.283,1,0,100,2094
1787411010.153347,138.299,1,0,100,2094
1787411011.1696553,139.316,1,0,100,2094
1787411012.185962,140.332,1,0,100,2094
1787411013.202279,141.348,1,0,100,2094
1787411014.2187624,142.365,1,0,100,2094
1787411015.2352314,143.381,1,0,100,2094
1787411016.251691,144.398,1,0,100,2094
1787411017.2684464,145.414,1,0,100,2094
1787411018.285181,146.431,1,0,100,2094
1787411019.301985,147.448,1,0,100,2094
1787411020.3193626,148.465,1,0,100,2094
1787411021.336598,149.482,1,0,100,2094
1787411022.353605,150.499,1,0,100,2094
1787411023.3702679,151.516,1,0,100,2094
1787411024.3870726,152.533,1,0,100,2094
1787411025.4038231,153.55,1,0,100,2094
1787411026.4203968,154.566,1,0,100,2094
1787411027.4369743,155.583,1,0,100,2094
1787411028.45372,156.6,1,0,100,2094
1787411029.4702506,157.616,1,0,100,2094
1787411030.4869068,158.633,1,0,100,2094
1787411031.503312,159.649,1,0,100,2094
1787411032.5203052,160.666,1,0,100,2094
1787411033.537091,161.683,1,0,100,2094
1787411034.5536509,162.699,1,0,100,2094
1787411035.5705366,163.716,1,0,100,2094
1787411036.5872335,164.733,1,0,100,2094
1787411037.603912,165.75,1,0,100,2094
1787411038.6205842,166.766,1,0,100,2094
1787411039.6373906,167.783,1,0,100,2094
1787411040.6540902,168.8,1,0,100,2094
1787411041.6710415,169.817,1,0,100,2094
1787411042.6879306,170.834,1,0,100,2094
1787411043.7045124,171.85,1,0,100,2094
1787411044.7213953,172.867,1,0,98,2094
1787411045.7379706,173.884,1,0,100,2094
1787411046.7546947,174.901,1,0,100,2094
1787411047.7713618,175.917,1,0,100,2094
1787411048.7878804,176.934,1,0,100,2094
1787411049.804589,177.95,1,0,100,2094
1787411050.8210247,178.967,1,0,100,2094
1787411051.8381429,179.984,1,0,100,2094
1787411052.8552876,181.001,1,0,100,2094
1787411053.872092,182.018,1,0,100,2094
1787411054.8885877,183.034,1,0,99,2094
1787411055.9051642,184.051,1,0,100,2094
1787411056.9217517,185.068,1,0,100,2094
1787411057.938302,186.084,1,0,100,2094
1787411058.9561193,187.102,1,0,100,2094
1787411059.9727445,188.119,1,0,100,2094
1787411060.9908242,189.137,1,0,100,2094
1787411062.0074754,190.153,1,0,99,2094
