step,compute_ms,comm_ms,data_ms,eval_ms,other_ms
137,9703.179,0.0,8.661,0.0,9.768
138,9698.064,0.0,9.944,0.0,9.975
139,9699.795,0.0,8.535,0.0,8.911
140,9704.655,0.0,6.426,0.0,9.285
141,9701.007,0.0,6.064,0.0,8.508
142,9707.653,0.0,5.516,0.0,8.281
143,9707.384,0.0,6.436,0.0,10.366
144,9704.513,0.0,5.652,0.0,9.194
145,9703.681,0.0,5.523,0.0,8.973
146,9684.9,0.0,7.213,0.0,9.254
147,9699.719,0.0,5.641,0.0,8.372
148,9707.211,0.0,5.654,0.0,8.156
149,9871.872,0.0,6.341,85304.868,23.494
150,9702.644,0.0,5.793,0.0,8.82
151,9699.725,0.0,6.399,0.0,8.595
152,9692.149,0.0,6.781,0.0,8.675
153,9700.906,0.0,6.554,0.0,8.625
154,9705.099,0.0,5.954,0.0,8.08
155,9706.448,0.0,5.751,0.0,8.568
156,9707.546,0.0,5.48,0.0,8.757
157,9856.638,0.0,5.929,0.0,8.723
158,9708.186,0.0,5.885,0.0,8.904
159,9709.74,0.0,6.129,0.0,8.436
160,9703.06,0.0,5.966,0.0,8.842
161,9708.347,0.0,5.69,0.0,7.998
162,9703.927,0.0,5.552,0.0,8.053
163,9705.321,0.0,6.034,0.0,14.873
164,9704.394,0.0,6.614,0.0,9.253
165,9702.045,0.0,6.002,0.0,8.902
166,9706.753,0.0,5.931,0.0,11.116
167,9704.393,0.0,5.683,0.0,8.428
168,9704.648,0.0,7.111,0.0,8.425
169,9703.41,0.0,5.953,0.0,12.161
170,9701.033,0.0,6.726,0.0,8.262
171,9704.372,0.0,6.022,0.0,8.741
172,9702.383,0.0,5.902,0.0,9.591
173,9861.549,0.0,6.154,0.0,8.082
174,9697.291,0.0,6.553,85325.542,22.496
175,9703.686,0.0,5.6,0.0,8.08
176,9704.1,0.0,6.177,0.0,5.91
177,9705.271,0.0,7.179,0.0,8.832
178,9697.942,0.0,6.937,0.0,8.79
179,9701.965,0.0,6.685,0.0,8.408
180,9709.271,0.0,6.081,0.0,7.951
181,9701.659,0.0,6.45,0.0,7.883
182,9702.739,0.0,7.507,0.0,8.26
183,9703.248,0.0,5.534,0.0,8.076
184,9701.163,0.0,5.623,0.0,9.097
185,9697.514,0.0,6.434,0.0,9.547
186,9710.805,0.0,6.382,0.0,9.757
187,9706.283,0.0,6.326,0.0,8.141
188,9704.268,0.0,6.436,0.0,8.397
189,9705.778,0.0,6.261,0.0,8.442
190,9699.839,0.0,6.099,0.0,8.67
191,9706.945,0.0,7.037,0.0,8.713
192,9704.756,0.0,5.709,0.0,8.694
193,9705.036,0.0,6.166,0.0,10.156
194,9700.023,0.0,5.732,0.0,33.597
195,9697.997,0.0,6.619,0.0,9.081
196,9705.038,0.0,5.981,0.0,8.337
197,9694.714,0.0,5.71,0.0,8.774
198,9697.268,0.0,6.382,0.0,9.237
199,9704.28,0.0,5.847,85322.995,22.359
200,9705.739,0.0,5.406,0.0,8.482
201,9705.922,0.0,6.496,0.0,9.031
202,9707.967,0.0,7.239,0.0,10.447
203,9685.45,0.0,5.997,0.0,8.507
204,9702.196,0.0,5.738,0.0,9.897
205,9704.062,0.0,5.467,0.0,7.904
206,9706.524,0.0,6.264,0.0,8.764
207,9706.77,0.0,6.152,0.0,9.159
208,9704.008,0.0,6.016,0.0,9.055
209,9705.324,0.0,6.823,0.0,12.052
210,9704.017,0.0,6.436,0.0,8.436
211,9825.923,0.0,6.274,0.0,9.146
212,9704.254,0.0,6.694,0.0,9.547
213,9704.562,0.0,5.998,0.0,9.019
214,9705.202,0.0,5.649,0.0,9.803
215,9703.768,0.0,5.909,0.0,8.586
216,9700.606,0.0,5.754,0.0,8.873
217,9708.693,0.0,6.457,0.0,8.948
218,9706.225,0.0,6.369,0.0,8.18
219,9691.926,0.0,6.328,0.0,9.276
220,9713.384,0.0,7.793,0.0,8.976
221,9702.968,0.0,6.35,0.0,13.911
222,9702.155,0.0,7.225,0.0,8.715
223,9703.828,0.0,5.723,0.0,9.141
224,9701.896,0.0,6.059,85340.509,22.218
225,9860.765,0.0,6.285,0.0,8.964
226,9706.591,0.0,5.866,0.0,11.978
227,9689.552,0.0,5.951,0.0,8.385
228,9703.128,0.0,6.564,0.0,11.484
229,9701.677,0.0,6.322,0.0,31.694
230,9698.646,0.0,6.368,0.0,8.278
231,9703.746,0.0,6.134,0.0,9.675
232,9701.238,0.0,6.0,0.0,9.226
233,9699.583,0.0,5.772,0.0,13.236
234,9700.87,0.0,7.105,0.0,8.998
235,9697.681,0.0,6.046,0.0,8.601
236,9704.832,0.0,6.523,0.0,9.988
237,9699.105,0.0,6.139,0.0,9.01
238,9693.934,0.0,5.455,0.0,9.265
239,9698.176,0.0,6.509,0.0,10.011
240,9722.931,0.0,5.396,0.0,8.654
241,9701.464,0.0,6.078,0.0,8.342
242,9705.125,0.0,6.726,0.0,9.226
243,9702.809,0.0,5.878,0.0,10.64
244,9698.832,0.0,6.24,0.0,10.68
245,9707.161,0.0,5.906,0.0,8.122
246,9705.167,0.0,6.155,0.0,9.23
247,9705.243,0.0,6.926,0.0,9.307
248,9703.286,0.0,6.777,0.0,9.272
249,9701.661,0.0,5.535,85335.276,22.653
