step,loss,samples_processed,tokens_seen
1,0.754625,8,634
2,0.995492,16,1121
3,0.604822,24,1805
4,0.389306,32,2651
5,1.008893,40,3649
6,0.953074,48,4124
7,0.836847,56,4713
8,0.942648,64,5581
9,0.60938,72,6355
10,0.436121,80,7027
11,0.311646,88,7471
12,0.536916,96,7975
13,0.75835,104,8792
14,1.222784,112,9422
15,0.381967,120,9938
16,0.475981,128,10692
17,0.525955,136,11276
18,0.591607,144,11948
19,0.119316,152,12573
20,1.041083,160,13203
21,0.426155,168,13892
22,1.426653,176,14678
23,0.432236,184,15542
24,0.685393,192,16591
25,0.24172,200,17366
26,0.421966,208,18044
27,0.505816,216,18888
28,0.608725,224,19567
29,0.778094,232,20159
30,0.325215,240,20983
31,0.371854,248,21675
32,0.420805,256,22651
33,0.649485,264,23346
34,0.365602,272,24074
35,0.627372,280,24961
36,0.687663,288,25678
37,0.525667,296,26395
38,0.784503,304,27033
39,0.826954,312,27691
40,0.501721,320,28349
41,0.482019,328,29010
42,0.61076,336,29458
43,0.991046,344,30088
44,0.564924,352,30725
45,0.317051,360,31599
46,0.46773,368,32660
47,0.419736,376,33528
48,0.54337,384,34487
49,0.450155,392,35342
50,0.84612,400,36431
51,0.428651,408,37264
52,0.658462,416,38038
53,0.827163,424,38674
54,0.838103,432,39307
55,0.335141,440,40011
56,0.966882,448,40486
57,0.630055,456,41161
58,0.554382,464,41998
59,0.33562,472,42682
60,0.727932,480,43346
61,0.729115,488,43933
62,0.716306,496,44546
63,0.550142,504,45250
64,0.681479,512,46070
65,0.628805,520,47014
66,0.447641,528,47519
67,0.552787,536,48264
68,0.422366,544,48810
69,0.912733,552,49377
70,1.847642,560,49976
71,0.904641,568,50599
72,0.425961,576,51171
73,0.376586,584,51973
74,0.704054,592,52926
75,0.714786,600,53673
76,0.551618,608,54452
77,0.610165,616,55075
78,0.603594,624,55741
79,0.643465,632,56568
80,0.685965,640,57381
81,0.592502,648,58086
82,0.552303,656,58703
83,0.565728,664,59620
84,0.576783,672,60375
85,0.66838,680,61002
86,0.868537,688,61847
87,0.462995,696,62385
88,0.474826,704,63151
89,1.15213,712,63524
90,1.172859,720,64111
91,0.52224,728,64653
92,0.390857,736,65384
93,0.515127,744,66027
94,0.839038,752,66582
95,0.296818,760,67570
96,0.493278,768,68158
97,0.525068,776,68797
98,0.509258,784,69464
99,0.274868,792,70079
100,0.849896,800,70854
101,0.590142,808,71539
102,0.552977,816,72292
103,0.788001,824,73097
104,0.826582,832,73883
105,0.557146,840,74457
106,0.545111,848,75029
107,0.485487,856,75958
108,0.829598,864,76615
109,0.817621,872,77191
110,0.520924,880,78044
111,0.521548,888,78840
112,0.817174,896,79384
113,1.184732,904,79904
114,0.86617,912,80859
115,0.331211,920,81693
116,0.574696,928,82404
117,0.678738,936,82997
118,0.553511,944,83571
119,0.860268,952,84194
120,1.317862,960,84918
121,0.593352,968,85683
122,0.422351,976,86372
123,0.565205,984,86938
124,0.544003,992,87558
125,1.661065,1000,88092
