step,loss,samples_processed,tokens_seen
255,0.837455,2040,175827
256,0.668389,2048,176565
257,0.423432,2056,177011
258,0.602418,2064,177631
259,0.347261,2072,178453
260,0.906832,2080,179225
261,0.376243,2088,179896
262,0.675694,2096,180546
263,0.54164,2104,181309
264,0.423022,2112,182043
265,0.617682,2120,182432
266,0.594258,2128,183292
267,0.357532,2136,183911
268,0.553015,2144,184534
269,0.9659,2152,185165
270,0.522883,2160,185787
271,0.68369,2168,186361
272,0.619763,2176,187343
273,0.412215,2184,188117
274,0.367343,2192,188948
275,0.431037,2200,190009
276,0.557231,2208,190771
277,0.920741,2216,191496
278,0.535415,2224,192120
279,0.932756,2232,192713
280,0.658591,2240,193424
281,0.875576,2248,194222
282,0.381582,2256,194864
283,0.690337,2264,195385
284,0.476843,2272,196450
285,0.732415,2280,196996
286,0.509882,2288,197739
287,0.18283,2296,198541
288,0.370097,2304,199182
289,0.696024,2312,199827
290,0.445031,2320,200623
291,0.70375,2328,201458
292,0.911702,2336,202003
293,0.917211,2344,202698
294,0.665368,2352,203274
295,0.47773,2360,203925
296,0.343343,2368,204708
297,0.723663,2376,205371
298,0.330127,2384,206172
299,1.011226,2392,206744
300,0.800542,2400,207534
301,1.021885,2408,208122
302,0.518977,2416,208855
303,0.716997,2424,209557
304,0.877983,2432,210249
305,0.864261,2440,210721
306,0.366381,2448,211138
307,0.884965,2456,211769
308,0.638986,2464,212518
309,0.417254,2472,213163
310,0.469105,2480,213785
311,0.680904,2488,214688
312,0.527619,2496,215288
313,0.508393,2504,215809
314,0.703996,2512,216409
315,0.668759,2520,216990
316,0.401964,2528,217593
317,0.808622,2536,218437
318,0.737824,2544,218994
319,0.711592,2552,219651
320,0.305556,2560,220080
321,0.636401,2568,220988
322,0.759625,2576,221466
323,0.446481,2584,222168
324,0.492128,2592,222948
325,0.329628,2600,223571
326,0.425606,2608,224233
327,0.692963,2616,224842
328,1.216991,2624,225508
329,0.266962,2632,226167
330,0.424837,2640,226839
331,0.278151,2648,227655
332,0.428118,2656,228156
333,0.217198,2664,228757
334,0.69927,2672,229822
335,0.649953,2680,230448
336,0.750494,2688,231236
337,0.226064,2696,231805
338,0.402076,2704,232390
339,0.705663,2712,233066
340,0.868493,2720,234001
341,0.568343,2728,234653
342,0.657149,2736,235466
343,0.653569,2744,236125
344,0.284384,2752,236809
345,0.712202,2760,237555
346,0.393127,2768,238245
347,0.509634,2776,239391
348,0.776672,2784,239883
349,0.952048,2792,240452
350,0.286442,2800,241341
351,0.471521,2808,242117
352,0.608978,2816,242798
353,0.807896,2824,243617
354,0.539678,2832,244413
355,0.533878,2840,245138
356,0.443508,2848,245706
357,0.456331,2856,246263
358,0.772757,2864,246923
359,0.479138,2872,247936
360,0.483967,2880,248643
361,0.29114,2888,249398
362,0.691034,2896,250069
363,0.557476,2904,250636
364,1.88912,2912,251411
365,0.472615,2920,252010
366,0.7021,2928,252703
367,0.73621,2936,253666
368,0.784809,2944,254053
369,0.939155,2952,254634
370,0.434488,2960,255216
371,0.668031,2968,255817
372,0.902381,2976,256454
373,0.703146,2984,257109
374,0.441415,2992,257847
375,0.415292,3000,258553
376,0.782543,3008,259369
377,0.481446,3016,260001
378,0.724426,3024,260693
379,0.466964,3032,261573
380,0.984151,3040,262042
381,0.522617,3048,262389
382,1.160034,3056,263001
383,0.340439,3064,263787
384,0.712026,3072,264492
385,0.270722,3080,265300
386,0.815231,3088,265832
387,0.4924,3096,266393
388,0.345016,3104,267036
389,0.941785,3112,267871
390,0.645833,3120,268431
391,0.482735,3128,269135
392,0.438251,3136,269631
393,0.451985,3144,270555
394,0.911489,3152,271075
395,0.483605,3160,271600
396,0.650595,3168,272133
397,0.780338,3176,272973
398,0.323056,3184,273599
399,0.709552,3192,274277
400,0.525907,3200,274817
401,0.822669,3208,275353
402,0.255231,3216,276073
403,0.381758,3224,276938
404,0.831539,3232,277820
405,0.757578,3240,278372
406,0.655247,3248,279138
407,0.370923,3256,279696
408,0.562903,3264,280420
409,0.978937,3272,281032
410,0.669923,3280,281598
411,0.624257,3288,282309
